app,activities,fragments,services,receivers,providers,has_fragment,commit_calls,commitNow_calls,baseline_params,conservative_params,aggressive_params,prr_conservative,prr_aggressive,lcs_flowdroid,lcs_dmmpp,lcs_ours,edges_fd,edges_dmmpp,edges_ours
large:antennapod,12,90,2,12,0,true,11,1,898,490,400,45.43,55.46,0.2866,0.8571,1.0000,506,28,24
large:k9mail,32,44,4,6,7,true,0,0,568,272,228,52.11,59.86,0.2866,0.8571,1.0000,506,28,24
